ID	Family	Subfamily
EPHA4	TK	Eph
EPHA5	TK	Eph
EPHA8	TK	Eph
EPHB1	TK	Eph
EPHB2	TK	Eph
EPHB3	TK	Eph
EPHB4	TK	Eph
EPHB6	TK	Eph
MAPK3	CMGC	MAPK
MAPK1	CMGC	MAPK
MAPK6	CMGC	MAPK
MAPK4	CMGC	MAPK
PTK2	TK	FAK
FER	TK	Fer
FES	TK	Fer
FGFR1	TK	FGFR
FGFR2	TK	FGFR
FGFR3	TK	FGFR
FGFR4	TK	FGFR
FGR	TK	Src
FLT3	TK	PDGFR
FLT1	TK	VEGFR
FLT4	TK	VEGFR
MTOR	Atypical	PIKK
FYN	TK	Src
GAK	Others	NAK
GRK4	AGC	GRK
GRK5	AGC	GRK
GRK6	AGC	GRK
TRIB2	CAMK	Trbl
GSK3A	CMGC	GSK
GSK3B	CMGC	GSK
HCK	TK	Src
ERBB2	TK	EGFR
ERBB3	TK	EGFR
ERBB4	TK	EGFR
HIPK1	CMGC	DYRK
MAP4K1	STE	STE20
GUCY2C	RGC	RGC
IGF1R	TK	InsR
CHUK	Others	IKK
IKBKB	Others	IKK
ILK	TKL	MLK
INSR	TK	InsR
IRAK1	TKL	IRAK
IRAK2	TKL	IRAK
IRAK3	TKL	IRAK
ERN1	Others	IRE
INSRR	TK	InsR
ITK	TK	Tec
JAK1	TK	Jak
JAK2	TK	Jak
JAK3	TK	Jak
MAPK8	CMGC	MAPK
MAPK9	CMGC	MAPK
MAPK10	CMGC	MAPK
MAP4K5	STE	STE20
IKBKE	Others	IKK
NUAK1	CAMK	CAMKL
MAST3	AGC	MAST
STK36	Others	ULK
PIM3	CAMK	PIM
KIT	TK	PDGFR
CDKL2	CMGC	CDKL
CDKL1	CMGC	CDKL
KSR1	TKL	RAF
LCK	TK	Src
LIMK2	TKL	LISK
STK11	CAMK	CAMKL
LTK	TK	ALK
LYN	TK	Src
MAK	CMGC	RCK
MAPKAPK2	CAMK	MAPKAPK
MAPKAPK3	CAMK	MAPKAPK
MAPKAPK5	CAMK	MAPKAPK
MARK1	CAMK	CAMKL
MAST2	AGC	MAST
MAP2K1	STE	STE7
MAP2K2	STE	STE7
MAP2K5	STE	STE7
MAP2K6	STE	STE7
MAP3K1	STE	STE11
MAP3K2	STE	STE11
MAP3K3	STE	STE11
MAP3K4	STE	STE11
MAP3K5	STE	STE11
MERTK	TK	Axl
MET	TK	Met
AMHR2	TKL	STKR
MAP2K7	STE	STE7
MYLK	CAMK	MLCK
MAP3K9	TKL	MLK
MAP3K10	TKL	MLK
DYRK1A	CMGC	DYRK
MKNK1	CAMK	MAPKAPK
MKNK2	CAMK	MAPKAPK
MOS	Others	MOS
MAP2K3	STE	STE7
MAP2K4	STE	STE7
CDC42BPB	AGC	DMPK
RPS6KA5	AGC	RSK
RPS6KA4	AGC	RSK
STK4	STE	STE20
STK3	STE	STE20
STK24	STE	STE20
MUSK	TK	Musk
PKMYT1	Others	WEE
STK38	AGC	NDR
NEK1	Others	NEK
NEK2	Others	NEK
NEK3	Others	NEK
MAP3K14	STE	STE-Unique
NLK	CMGC	MAPK
NEK4	Others	NEK
IRAK4	TKL	IRAK
PIK3R4	Others	VPS15
ROCK2	AGC	DMPK
MAPK14	CMGC	MAPK
RPS6KB1	AGC	RSK
RPS6KB2	AGC	RSK
PAK1	STE	STE20
PAK2	STE	STE20
PAK3	STE	STE20
PRKCH	AGC	PKC
CDK16	CMGC	CDK
CDK17	CMGC	CDK
CDK18	CMGC	CDK
PDGFRA	TK	PDGFR
PDGFRB	TK	PDGFR
PDPK1	AGC	PDK1
PDK1	Atypical	PDHK
PDK2	Atypical	PDHK
PDK3	Atypical	PDHK
PDK4	Atypical	PDHK
EIF2AK3	Others	PEK
CDK14	CMGC	CDK
PHKG1	CAMK	PHK
PHKG2	CAMK	PHK
PIM1	CAMK	PIM
PIM2	CAMK	PIM
CDK10	CMGC	CDK
CDK9	CMGC	CDK
CDK11B	CMGC	CDK
MELK	CAMK	CAMKL
CDC42BPA	AGC	DMPK
PRKACA	AGC	PKA
PRKACB	AGC	PKA
PRKACG	AGC	PKA
PRKCA	AGC	PKC
PRKCB	AGC	PKC
PRKCD	AGC	PKC
PRKCE	AGC	PKC
PRKCG	AGC	PKC
PRKCI	AGC	PKC
PRKD1	CAMK	PKD
PRKCQ	AGC	PKC
PRKCZ	AGC	PKC
PRKX	AGC	PKA
HIPK3	CMGC	DYRK
PLK1	Others	PLK
PLK3	Others	PLK
PKN1	AGC	PKN
PKN2	AGC	PKN
PRKY	AGC	PKA
PRPF4B	CMGC	DYRK
PSKH1	CAMK	PSK
RAF1	TKL	RAF
RET	TK	Ret
GRK1	AGC	GRK
RIPK1	TKL	RIPK
RIPK2	TKL	RIPK
RIPK3	TKL	RIPK
ROCK1	AGC	DMPK
MST1R	TK	Met
ROR1	TK	Ror
ROR2	TK	Ror
ROS1	TK	Sev
RPS6KA2	AGC	RSK
RPS6KA3	AGC	RSK
RPS6KA1	AGC	RSK
RYK	TK	Ryk
PLK4	Others	PLK
MAPK11	CMGC	MAPK
MAPK12	CMGC	MAPK
MAPK13	CMGC	MAPK
MAST1	AGC	MAST
SGK1	AGC	SGK
SLK	STE	STE20
PLK2	Others	PLK
MAP3K11	TKL	MLK
SRC	TK	Src
SRPK1	CMGC	SRPK
SRPK2	CMGC	SRPK
CDKL5	CMGC	CDKL
TAOK2	STE	STE20
SYK	TK	Syk
MAP3K7	TKL	MLK
BMPR2	TKL	STKR
TEC	TK	Tec
TEK	TK	Tie
TESK1	TKL	LISK
TGFBR2	TKL	STKR
TIE1	TK	Tie
TTN	CAMK	MLCK
TLK1	Others	TLK
TLK2	Others	TLK
TNK1	TK	Ack
TRIO	CAMK	Trio
NTRK1	TK	Trk
NTRK2	TK	Trk
NTRK3	TK	Trk
TRRAP	Atypical	PIKK
TTK	Others	TTK
TXK	TK	Tec
TYK2	TK	Jak
TYRO3	TK	Axl
ULK1	Others	ULK
ULK2	Others	ULK
VRK1	CK1	VRK
VRK2	CK1	VRK
WEE1	Others	WEE
YES1	TK	Src
STK25	STE	STE20
ZAP70	TK	Syk
MAP3K13	TKL	MLK
DDR1	TK	DDR
ADCK1	Atypical	ABC1
KDR	TK	VEGFR
ACVR1C	TKL	STKR
AURKB	Others	Aur
AURKA	Others	Aur
MAPK7	CMGC	MAPK
BUB1	Others	BUB
DDR2	TK	DDR
PTK7	TK	CCK4
LIMK1	TKL	LISK
AATK	TK	Lmr
LMTK2	TK	Lmr
LMTK3	TK	Lmr
EPHA7	TK	Eph
BMX	TK	Tec
MATK	TK	Csk
FRK	TK	Src
NEK6	Others	NEK
NEK7	Others	NEK
AAK1	Others	NAK
TRPM7	Atypical	Alpha
PTK2B	TK	FAK
SRMS	TK	Src
STK10	STE	STE20
MAP4K3	STE	STE20
OXSR1	STE	STE20
PAK6	STE	STE20
PAK4	STE	STE20
STK26	STE	STE20
STK39	STE	STE20
STRADA	STE	STE20
STRADB	STE	STE20
TAOK3	STE	STE20
TAOK1	STE	STE20
MAP4K4	STE	STE20
TNIK	STE	STE20
MINK1	STE	STE20
NRK	STE	STE20
LATS1	AGC	NDR
LATS2	AGC	NDR
CDK19	CMGC	CDK
NIM1K	CAMK	CAMKL
ULK3	Others	ULK
PDIK1L	Others	NKF4
TTBK2	CK1	TTBK
SCYL1	Others	SCY1
MASTL	AGC	MAST
PINK1	Others	NKF2
ULK4	Others	ULK
MLKL	TKL	TKL-Unique
DCLK3	CAMK	DCAMKL
PKDCC	Others	SgK493
CDK15	CMGC	CDK
STK33	CAMK	STK33
TP53RK	Others	Bud32
MAPK15	CMGC	MAPK
CDKL4	CMGC	CDKL
SCYL3	Others	SCY1
STK32C	AGC	YANK
NEK9	Others	NEK
TSSK3	CAMK	TSSK
NUAK2	CAMK	CAMKL
RPS6KL1	AGC	RSKL
TSSK2	CAMK	TSSK
SCYL2	Others	SCY1
NEK8	Others	NEK
GRK3	AGC	GRK
NRBP1	Others	NRBP
PRKD2	CAMK	PKD
STK32B	AGC	YANK
CAMKK2	Others	CAMKK
CDK20	CMGC	CDK
CLK4	CMGC	CLK
CDK12	CMGC	CDK
STK17A	CAMK	DAPK
STK17B	CAMK	DAPK
DYRK3	CMGC	DYRK
PRKD3	CAMK	PKD
EIF2AK4	Others	PEK
RSKR	AGC	RSKR
STK40	CAMK	SgK495
STK35	Others	NKF4
TNNI3K	TKL	MLK
HIPK2	CMGC	DYRK
EIF2AK1	Others	PEK
CILK1	CMGC	RCK
ERN2	Others	IRE
PASK	CAMK	CAMKL
STK38L	AGC	NDR
SIK3	CAMK	CAMKL
HUNK	CAMK	CAMKL
MAP3K6	STE	STE11
MAP3K20	TKL	MLK
MOK	CMGC	RCK
STK16	Others	NAK
SRPK3	CMGC	SRPK
WNK1	Others	WNK
CDKL3	CMGC	CDKL
PAK5	STE	STE20
PKN3	AGC	PKN
SIK2	CAMK	CAMKL
MARK4	CAMK	CAMKL
DSTYK	Others	Dusty
RPS6KC1	AGC	RSKL
RPS6KA6	AGC	RSK
NRBP2	Others	NRBP
STKLD1	Others	SgK071
SGK2	AGC	SGK
TSSK6	CAMK	TSSK
SGK3	AGC	SGK
TTBK1	CK1	TTBK
DCLK2	CAMK	DCAMKL
PXK	Others	Slob
PBK	Others	TOPK
STYK1	TK	TK-Unique
TBK1	Others	IKK
TESK2	TKL	LISK
KALRN	CAMK	Trio
TSSK4	CAMK	TSSK
VRK3	CK1	VRK
MYLK3	CAMK	MLCK
SPEG	CAMK	Trio
CSNK1A1L	CK1	CK1
RIPK4	TKL	RIPK
NEK5	Others	NEK
CAMK1D	CAMK	CAMK1
MAP3K19	STE	STE11
NEK11	Others	NEK
GRK7	AGC	GRK
SBK2	Others	NKF1
HIPK4	CMGC	DYRK
MYO3B	STE	STE20
WNK4	Others	WNK
SBK3	Others	NKF1
BRSK1	CAMK	CAMKL
OBSCN	CAMK	Trio
PSKH2	CAMK	PSK
SIK1	CAMK	CAMKL
KSR2	TKL	RAF
RIOK3	Atypical	RIO
COQ8A	Atypical	ABC1
RIOK1	Atypical	RIO
STK32A	AGC	YANK
SNRK	CAMK	CAMKL
EPHA10	TK	Eph
POMK	Others	Other-Unique
MYO3A	STE	STE20
WNK3	Others	WNK
PRAG1	Others	NKF3
NEK10	Others	NEK
EPHA6	TK	Eph
CSNK1G1	CK1	CK1
PEAK1	Others	NKF3
SBK1	Others	NKF1
STK31	Others	Other-Unique
ANKK1	TKL	RIPK
UHMK1	Others	KIS
PNCK	CAMK	CAMK1
TBCK	Others	TBCK
SMG1	Atypical	PIKK
MYLK2	CAMK	MLCK
MAP3K15	STE	STE11
LRRK2	TKL	LRRK
MAP3K21	TKL	MLK
HASPIN	Others	Haspin
TRIB3	CAMK	Trbl
CIT	AGC	DMPK
CAMKK1	Others	CAMKK
LRRK1	TKL	LRRK
TEX14	Others	NKF5
MAST4	AGC	MAST
CAMK2D	CAMK	CAMK2
BMP2K	Others	NAK
TSSK1B	CAMK	TSSK
MYLK4	CAMK	MLCK
ADCK2	Atypical	ABC1
DAPK3	CAMK	DAPK
WEE2	Others	WEE
RNASEL	Others	Other-Unique
TRPM6	Atypical	Alpha
RIOK2	Atypical	RIO
ALPK2	Atypical	Alpha
ALPK1	Atypical	Alpha
BRD2	Atypical	BRD
BRD3	Atypical	BRD
BRD4	Atypical	BRD
BRDT	Atypical	BRD
ALPK3	Atypical	Alpha
ADCK5	Atypical	ABC1
TRIM24	Atypical	TIF1
TRIM28	Atypical	TIF1
TRIM33	Atypical	TIF1
PAN3	Others	PAN3
FASTK	Atypical	FAST
STK19	Atypical	G11
TAF1	Atypical	TAF1
TAF1L	Atypical	TAF1
BCR	Atypical	BCR
ABR	Atypical	BCR
TRIM66	Atypical	TIF1
CERT1	Atypical	Col4A3BP
BLVRA	Atypical	BLVRA
BAZ1A	Atypical	BAZ
BAZ1B	Atypical	BAZ
PDPK2P	AGC	PDPK1 subfamily
PIK3CG	Atypical	Atypical PI3/PI4-kinase family
PIK3CA	Atypical	/
CDK11A	CMGC	CDC2/CDKX subfamily
PIK3CB	Others	other
PRKAB2	Others	Do not consider for classification
PRKAG1	Others	Do not consider for classification
TWF1	Others	Do not consider for classification
PRKAG3	Others	Do not consider for classification
PRKAG2	Others	Do not consider for classification
HSPB8	Others	Do not consider for classification
PLK5	Others	CDC5/Polo subfamily
CSNK2A3	Others	CK2 subfamily
NDRG1	AGC	NDR
GTF2F1	Atypical	GTF2F1
PKD1	CAMK	PKD
PKD2	CAMK	PKD
PKD3	CAMK	PKD
TSSK1A	CAMK	TSSK
POLD1	CMGC	CDK
NME3	Others	NDK
NME4	Others	NDK
NME5	Others	NDK
NME6	Others	NDK
NME8	Others	NDK
NME9	Others	NDK
MYT1	Others	WEE
GASK1A	PKL	FJ
GASK1B	PKL	FJ
FAM20A	PKL	FJ
FAM20B	PKL	FJ
FAM20C	PKL	FJ
CROT	STE	STE-Unique
OSR1	STE	STE20
GCK	STE	STE20
MST1	STE	STE20
SRM	TK	Src
SLPI	TKL	STKR
ACTR2	TKL	STKR
