Degradability	Length	LysRatio	Acetylation_1	Acetylation_2	Methylation_1	Methylation_2	Methylation.K_1	Phosphorylation_1	Phosphorylation_2	Sumoylation_1	Ubiquitination_1	Ubiquitination_2	DisorderFraction	nInteract	nComplex	MOLT4_RNA	MOLT4_Protein	MOLT4_H3K27ac	Detectability	MLN4924_DMSO.PSI	MLN4924.PSI	SCF_DMSO.PSI	SCF.PSI	CRL3_DMSO.PSI	CRL3.PSI	CRL4_DMSO.PSI	CRL4.PSI	GPSarray	GPSseq	Cterminome	Nterminome	Mathieson2018_Bcells_Halflife	Mathieson2018_NKs_Halflife	Mathieson2018_Hepatocytes_Halflife	Mathieson2018_Monocytes_Halflife	Mathieson2018_mNeurons_Halflife	Boisvert2012_Hela_Whole_Turnover	Boisvert2012_Hela_Cytoplasm_Turnover	Boisvert2012_Hela_Nucleus_Turnover	Boisvert2012_Hela_Nucleolus_Turnover	Selbach2011_NIH3T3_Halflife	Zecha2018_Hela_Halflife
DSTYK	low	929	0.0516684607104413	0.0208333333333333	0	0.018348623853211	0.0091743119266055	0.0416666666666667	0.0555555555555556	0.0158730158730159	0	0.229166666666667	0.0208333333333333	0.023	111	0	2.44232319997759	-0.880781118412035	1	0.754966887417219	5.65845704361028	5.62768815833563	5.4289508570612	5.44239950112925	5.64921236668641	5.53626249916742	5.45010486452179	5.43230761248903	5.54668128296992	3.89389916770732	4.60584441834885	4.25366666666667	111.936168138734	264.439578776776	103.965788880986	102.312612739814	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	82.9309789096696	66.6062795486124
EGFR	low	1210	0.0545454545454545	0.121212121212121	0.0454545454545455	0.0317460317460318	0.0158730158730159	0.0303030303030303	0.402173913043478	0.293478260869565	0.0151515151515152	0.5	0.242424242424242	0.512	1206	12	0.137666157620435	-1.68336682714795	0	0.172185430463576	5.06734031328079	4.94422901104648	4.88619438872611	4.8689332443181	4.83050412526757	4.78198952723026	5.00449531348765	4.93172409512327	4.94713353519053	2.61399553540219	3.16566666666667	2.481	36.524	264.439578776776	34.9935	102.312612739814	53.5735	14.16050005	16.19100046	12.15495014	16.6467992267176	12.71	33.71338427
EIF2AK4	low	1649	0.0648878107944209	0.0186915887850467	0.00934579439252336	0.01	0	0.00934579439252336	0.0866141732283465	0.0433070866141732	0	0.0747663551401869	0.0373831775700935	0.038	133	0	4.49912580503075	0.950555709260805	1.953	1	5.29194990995688	5.04264304202938	4.98085199207897	5.02434014711338	4.62489978318257	4.78683053977707	5.39481716341054	5.01326472887657	5.07312971215724	3.41673570309495	2.86783345235993	4.17733333333333	111.936168138734	264.439578776776	29.759	102.312612739814	72.397	22.05150032	18.1529200284387	19.2548421031562	16.6467992267176	58.92	71.75436652
EPHA2	low	976	0.0491803278688525	0	0	0	0	0	0.290909090909091	0.193939393939394	0.0208333333333333	0.416666666666667	0.229166666666667	0.02	393	1	0.145960640512457	-1.4564344325912	0.036	0.178807947019868	4.265494766455	4.29039264426919	4.2317914783736	4.23038907517792	4.49087789753236	4.57854287348199	4.43909789067076	4.8215030491073	4.35681550825793	1.56671149017231	2.93833333333333	2.39733333333333	64.18075	75.10225	42.0375	65.0746666666667	19.0805	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	9.35	16.13166678
EPHA7	low	998	0.0501002004008016	0	0	0	0	0	0.134502923976608	0.0350877192982456	0	0.14	0.04	0.043	346	0	0.143381006009829	-0.0499566805493323	0	0.105960264900662	4.63926208460634	4.63837970086064	4.77274529962503	4.74355190785172	4.15064888681727	4.05073382569646	3.98825404739556	3.88941201879493	4.38772757961105	2.45466666666667	2.63930768476744	2.017	112.7745	264.439578776776	407.600928571429	271.7595	15.5665	26.80679989	18.1529200284387	21.17599964	16.6467992267176	130.43	845.3014397
EPHB3	low	998	0.0370741482965932	0	0	0	0	0	0.165714285714286	0.08	0	0	0	0.023	320	0	0.141801678163179	0.000344664215699717	0.002	0.145695364238411	4.92874088564427	4.90964663097579	4.77902922508115	4.83323672315461	4.64407858913181	4.692070278523	4.87589751016897	4.66902950696471	4.80693655250655	2.15633333333333	2.307	3.07549258427113	111.936168138734	264.439578776776	103.965788880986	23.719	36.776	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	82.9309789096696	32.30606179
ERN1	low	977	0.0573183213920164	0.0178571428571429	0	0	0	0	0.0955056179775281	0.0168539325842697	0	0.142857142857143	0.0178571428571429	0.124	276	0	2.29278050210982	-1.38674412496633	1.336	0.47682119205298	4.6722101231725	4.80794393554718	5.029637198802	5.01831599980531	4.91555636351377	5.14738769508843	5.37012240687826	4.70568100389437	4.99688152309163	3.64500330475943	3.15710398679009	2.644	111.936168138734	264.439578776776	103.965788880986	102.312612739814	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	82.9309789096696	66.6062795486124
FGFR1	low	822	0.0596107055961071	0.0408163265306122	0	0	0	0	0.213793103448276	0.16551724137931	0	0.122448979591837	0.0408163265306122	0.231	280	5	4.65890230560178	0.490640336296513	0	0.211920529801325	3.96825127229863	3.94301468673574	4.08335853811533	4.16307371766926	4.58079322624266	4.74733396354873	4.73838046224372	4.92147325010359	4.34269587472508	3.59281833125943	3.87286546568779	2.98966666666667	111.936168138734	264.439578776776	103.965788880986	102.312612739814	32.046	18.8283794238886	0	0	0	82.9309789096696	26.60858998
HIPK2	low	1198	0.0392320534223706	0	0	0.010752688172043	0	0	0.11340206185567	0.0274914089347079	0.0638297872340425	0.297872340425532	0.127659574468085	0.032	272	5	4.20768132935352	0	1.02	0.185430463576159	4.88951112697894	4.88668818350384	4.8926394638718	4.89263974649764	4.8730991552436	4.8780772001807	4.86108958368777	4.83564098102404	4.87908483244553	2.1686711211914	3.74	3.196	27.117	264.439578776776	103.965788880986	102.312612739814	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	82.9309789096696	4.938753181
IGF1R	low	1367	0.0504754937820044	0.0144927536231884	0	0.0201342281879195	0	0.0144927536231884	0.117903930131004	0.0698689956331878	0.0434782608695652	0.0579710144927536	0.0289855072463768	0.165	631	2	4.05401316142439	0.56000097887703	0.992	0.33112582781457	4.45337941988993	4.48275769917421	4.81025387210209	4.86388568621342	4.62473318268083	5.03158156369868	4.79312893954595	4.21135082329075	4.6703738535547	2.27924642209571	3.419	3.0510072360073	111.936168138734	264.439578776776	103.965788880986	102.312612739814	37.15	16.08340025	16.70710039	8.621100426	16.6467992267176	32.3	35.80305685
IKBKB	low	756	0.0568783068783069	0.0232558139534884	0	0	0	0	0.518867924528302	0.169811320754717	0	0.395348837209302	0.116279069767442	0.101	507	15	4.97371567714024	0.836080910781746	1.926	1	5.2013312342157	5.16276547307056	5.03808566755097	4.97847355311605	5.11007662395114	5.10681743215475	4.94065014718957	4.85149983463046	5.07253591822685	3.517	3.94409946120468	4.50766666666667	87.1905	181.858	1657.91533333333	90.1505	40.779	19.2873497	19.25975037	19.48860073	16.566275595	1648.7	133.2157779
IKBKE	low	716	0.0488826815642458	0	0	0	0	0	0.123809523809524	0.0476190476190476	0.0285714285714286	0.4	0.114285714285714	0	278	2	3.19499061097789	-0.0634984504795338	0.983	0.768211920529801	4.89715207566453	5.21566636295294	5.11746929099474	5.09633128450476	5.14467177055112	5.39119644838644	5.62829732971913	5.03512290469213	5.19689761673238	3.47025230405688	4.15435219364926	4.13033333333333	111.936168138734	264.439578776776	103.965788880986	102.312612739814	55.35473944767	9.292750359	18.1529200284387	9.292750359	16.6467992267176	82.9309789096696	66.6062795486124
INSR	low	1382	0.0484804630969609	0.0149253731343284	0	0.00671140939597315	0.00671140939597315	0.0149253731343284	0.2	0.111111111111111	0	0.104477611940299	0.0746268656716418	0.088	520	2	2.59217236984307	0.308007275269482	2.207	0.860927152317881	4.54552927225132	4.53692733636647	4.65800401574424	4.65942357773405	5.07422370846675	5.29725785048326	4.77618766136058	4.38675112562916	4.76348616445572	3.3447616988268	4.16535106673439	2.458	47.6835	264.439578776776	27.1475	39.7723125	27.165	16.83500004	5.028399944	17.49564934	3.223190069	32.042	25.0096044114286
JAK1	low	1154	0.0901213171577123	0.0288461538461538	0	0	0	0	0.162790697674419	0.0465116279069767	0	0.394230769230769	0.0961538461538462	0.062	465	1	4.53465932948036	0.642658693877677	2.044	0.993377483443709	4.7797233398633	4.79492317179302	4.90651771244974	4.87147287201339	4.59763698149218	4.78398747166537	4.37038795634701	4.31535022445374	4.66356649753806	4.1829349027	3.156	3.76195833333333	12.524	17.359	11.255	16.153	14.9415	18.8283794238886	18.1529200284387	8.086050034	2.036814928	84.57	12.08204951
JAK2	low	1132	0.0697879858657244	0.0126582278481013	0	0	0	0	0.142857142857143	0.08	0.0759493670886076	0.151898734177215	0.0126582278481013	0.032	620	2	2.92328423750935	0.527589515899801	0.999	0.662251655629139	5.33676769725913	5.35192757500716	5.05231266674222	5.18316878694919	5.57032699535145	5.46920539298296	5.20055463223701	5.18662895394193	5.28999049789745	3.85918692693177	2.81656437781479	2.42433333333333	20.594	68.6475	40.192875	57.035	29.151	16.308766683	11.9542341815	13.829342937	13.080937385	31.4866666666667	34.138507251
JAK3	low	1124	0.0373665480427046	0.0238095238095238	0	0	0	0	0.152866242038217	0.0445859872611465	0	0.476190476190476	0.238095238095238	0.025	404	0	4.04150953013285	0.0611493757794411	1.492	0.80794701986755	4.62723647178577	4.72437232548292	4.82863053276747	4.9173225734778	5.17611224673971	5.24866553658367	4.77355730091824	4.65206390829453	4.8513841380528	3.25750994067021	3.80733333333333	3.617	10.4475	264.439578776776	103.965788880986	102.312612739814	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	82.9309789096696	66.6062795486124
MAP2K1	low	393	0.0712468193384224	0.0714285714285714	0	0	0	0	0.333333333333333	0.274509803921569	0.0357142857142857	0.464285714285714	0.392857142857143	0.165	735	7	5.25351764387161	0.704533850488788	2.862	1	4.23318826514305	4.1776309586495	4.59645026511255	4.6481879231277	5.3685033614369	5.52536239691259	5.10122187971634	4.0308997266216	4.82484094285221	4.77403080728911	2.76533333333333	4.67433333333333	110.271	264.439578776776	386.4139	98.986	45.879	10.43830013	21.29505062	15.04990959	4.901350021	231.66	127.7626083
MAP2K2	low	400	0.06	0	0	0	0	0	0.382978723404255	0.276595744680851	0.0416666666666667	0.666666666666667	0.583333333333333	0.105	652	2	6.90896258140232	1.38174587127814	1.446	1	5.28211899906125	5.88873294016468	5.3003217421577	5.61580546009206	5.52750594151504	5.64789672666607	5.44678211318048	5.29852643147984	5.38918219897862	4.79845687386248	1.69621508638544	4.0069212237669	124.382	286.832	454.33	86.0415	58.8425	20.45670033	20.51174927	17.11175013	14.51220036	87.38	82.81328322
MAP3K2	low	619	0.0597738287560582	0	0	0.025	0	0.0540540540540541	0.294117647058824	0.201680672268908	0	0.27027027027027	0.0810810810810811	0.023	577	0	4.39746079360198	0.412710911412904	1.37	0.980132450331126	5.14380790817873	5.05879791691747	5.17720359820369	5.13512005110946	5.03604635959136	5.04641140230587	5.07658608207927	5.00222894871687	5.10841098701326	3.10120821823369	2.27237339809768	3.54733333333333	34.057	49.269	61.77225	22.702	16.945	17.145025015	18.1529200284387	18.534274815	10.22270012	87.9225	17.02050378
MAP3K3	low	626	0.0447284345047923	0	0	0	0	0	0.30327868852459	0.19672131147541	0	0.321428571428571	0	0.027	595	3	3.98697889714105	-1.00912080530612	2.176	0.834437086092715	3.52221569212241	3.54748753424972	3.44488825055079	3.43108992997087	4.52066154845372	4.77654710475098	4.71977137076118	5.71928820491073	4.05188421547202	3.81734261852531	2.456	4.09266666666667	11.392	25.225	60.8885	56.444	17.901	14.36444998	19.11350489	18.0703837066667	18.849549768	69.93125	35.1529135616667
MAP3K4	low	1608	0.0640547263681592	0.0194174757281553	0	0	0	0	0.176229508196721	0.0860655737704918	0	0.00970873786407767	0	0.175	160	1	4.20915492050785	0.908245282322896	0.98	0.900662251655629	5.41382888519381	5.48241240963404	5.30464250110228	5.32835166291946	5.38720239580451	5.19394680095069	5.43599626812849	5.37923087163217	5.38541751255727	3.37970250265322	2.33636430733782	2.96268873090982	68.915	133.411	75.5748333333333	90.061	55.549	18.4602951595	20.7592166233333	20.73285799	8.745150087	47.75	113.26475205125
MAPK1	low	360	0.0638888888888889	0	0	0.0238095238095238	0	0	0.428571428571428	0.244897959183673	0	0.652173913043478	0.260869565217391	0.019	1569	10	6.38229617813308	0.963378944279947	0.986	1	5.48590756443092	5.4813036818723	5.85100401855941	5.89068028795307	5.74641079485717	5.75135206954572	5.89137688241633	6.07971289992128	5.74367481506596	4.44066666666667	3.87286546568779	4.45066666666667	93.5015	133.4295	115.778	80.3325	34.445	18.2269001	18.14054966	21.08409977	14.05580044	53.2	66.39727654
MARK1	low	795	0.0716981132075472	0	0	0.0168067226890756	0.00840336134453781	0	0.333333333333333	0.207547169811321	0	0.12280701754386	0.0350877192982456	0.033	43	0	0.138127647036924	0.137222720389358	0	0.158940397350993	4.88464378418989	4.8636109644203	4.80454907825059	4.86896765005067	4.34844600947446	4.63067468505122	6.16421285905238	5.73358678051656	5.05046293274183	3.67933333333333	2.76533333333333	4.88417946494249	111.936168138734	264.439578776776	29.024	102.312612739814	55.496	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	71.1	52.43170806
MASTL	low	879	0.0716723549488055	0.0158730158730159	0	0.010752688172043	0	0.0158730158730159	0.365853658536585	0.201219512195122	0.0158730158730159	0.412698412698413	0.126984126984127	0.092	71	0	4.8501391161605	0.436058406111804	1.945	1	5.04516790106701	4.97447587177645	5.04242647360247	5.05168513838148	5.00482277274554	4.90729476032778	4.94228592126759	4.86142786053933	5.00867576717065	3.81376629495469	3.49057528967237	4.85337669701347	111.936168138734	264.439578776776	103.965788880986	102.312612739814	55.35473944767	6.446499825	18.1529200284387	14.83300018	11.58240032	9.89	11.46455806
MELK	low	651	0.0906298003072197	0	0	0.0326086956521739	0	0.0338983050847458	0.440366972477064	0.293577981651376	0.0677966101694915	0.525423728813559	0.338983050847458	0.018	326	0	5.86416120767906	0.704546288222369	1.01	0.986754966887417	4.88951112697894	4.88668818350384	4.8926394638718	4.89263974649764	4.8730991552436	4.8780772001807	4.86108958368777	4.83564098102404	4.87908483244553	3.37138549339456	2.22014602937311	2.629262995679	111.936168138734	264.439578776776	103.965788880986	102.312612739814	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	41.75	5.936512338
MINK1	low	1332	0.0570570570570571	0.0131578947368421	0	0.0111111111111111	0.00555555555555556	0.0131578947368421	0.33160621761658	0.22279792746114	0	0.210526315789474	0.0789473684210526	0.454	105	0	4.08627566797976	-0.140127577404694	2.096	0.960264900662252	4.8341119116983	4.92559373838444	4.94559457283081	5.0247891039881	5.53151895777696	5.49920825895972	5.16635733673953	5.22199116033302	5.1193956947614	4.93004277935818	2.22014602937311	3.34333333333333	31.699	74.4237857142857	103.965788880986	32.437	27.2935	17.20384979	9.495065212	18.05340004	26.31209946	21.32	42.87005714
MKNK1	low	465	0.0666666666666667	0	0	0.0344827586206897	0.0172413793103448	0	0.202898550724638	0.130434782608696	0	0.0967741935483871	0.032258064516129	0.161	28	1	3.55897815964731	0.136941787591955	1.433	0.993377483443709	4.88951112697894	4.88668818350384	4.8926394638718	4.89263974649764	4.8730991552436	4.8780772001807	4.86108958368777	4.83564098102404	4.87908483244553	4.35333333333333	3.98478224217537	4.716	111.936168138734	264.439578776776	103.965788880986	25.375	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	10.46	10.1843547
NDRG1	low	394	0.032994923857868	0	0	0	0	0	0.402777777777778	0.402777777777778	0.0769230769230769	0.384615384615385	0.230769230769231	0.178	77	0	3.43578418446002	0.116979599351465	0.99	0.993377483443709	6.32208506817252	6.02172335803175	6.03310381694873	5.88872669746297	6.74642854881938	6.76577592190824	6.37892109151782	6.38965101716558	6.37013463136461	4.42805263276589	3.28111256805652	4.4005	69.516	89.509	64.3945	65.8705	55.616	14.01044989	13.94395018	19.2548421031562	16.6467992267176	102.28	71.72071051
NEK8	low	692	0.0361271676300578	0	0	0	0	0	0.0495049504950495	0.0099009900990099	0	0.12	0	0.036	21	2	1.87991222093414	0.827831559892444	2.501	0.105960264900662	5.65993091033479	5.49916626560406	5.49890941677601	5.50717720847864	4.95289456802372	5.37482801084391	5.19721335552073	5.15597231840173	5.32723706266381	3.593	3.78866666666667	2.42046334968885	111.936168138734	264.439578776776	103.965788880986	102.312612739814	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	82.9309789096696	66.6062795486124
PAK1	low	545	0.0862385321100917	0.106382978723404	0.0212765957446809	0	0	0	0.527472527472527	0.406593406593407	0.0212765957446809	0.191489361702128	0.0425531914893617	0.185	515	4	5.1045224816316	0.710177536276695	2.204	1	6.86155490063694	6.60742962264812	6.28807384874969	6.29374414032328	5.6074700077575	5.74440915737545	4.89264356345343	4.8926436070852	5.91243558014939	3.89746482061521	3.74933333333333	3.72293276989583	97.491	264.439578776776	345.4584	81.5135	50.1685	33.9715004	20.03639984	19.2548421031562	16.6467992267176	61.7	30.21443447
PDGFRB	low	1106	0.0343580470162749	0	0	0	0	0	0.147208121827411	0.101522842639594	0	0.0526315789473684	0	0.007	261	1	0.296960661730397	-1.2618431483441	0	0.112582781456954	4.30954273917232	4.08872164279555	4.48242547600621	4.55101721549463	4.69090611138321	4.7745063589365	4.12258446759298	4.24000700338802	4.40136469853868	3.41194687109828	4.52066666666667	2.42962327912911	111.936168138734	264.439578776776	31.0295	102.312612739814	86.794	7.90949768	22.86285019	19.2548421031562	1.801779985	47.55	39.9783373183333
PHKG2	low	406	0.0369458128078818	0	0	0	0	0	0.117647058823529	0.0784313725490196	0	0.266666666666667	0	0.01	60	0	4.36890244510965	0.0980600188462745	2.456	1	5.74033437707846	5.75807652765138	5.55079679776598	5.55158124677046	5.66822992475186	5.521066860885	5.2605465651971	5.48852015328847	5.55497691619835	3.84466666666667	4.202	3.5780144339229	75.4955	264.439578776776	271.98765	119.2465	70.196	18.53549957	18.53549957	19.2548421031562	16.6467992267176	185.55	160.0276967
PIK3C3	low	887	0.0811724915445321	0.0416666666666667	0.0416666666666667	0.0265486725663717	0.00884955752212389	0.0416666666666667	0.202797202797203	0.0559440559440559	0.0277777777777778	0.291666666666667	0.0972222222222222	0.06	681	3	3.6731850376177	-1.02466033062258e-16	1.96	1	5.21358337027783	5.13025685488278	5.38664362104719	5.376006575715	5.29347772530745	5.32417961956276	4.90100369098399	5.03484448865053	5.19867710190411	4.93004277935818	3.93533333333333	2.19833333333333	102.852	131.6105	78.055	65.7035	39.459	8.5002349635	0	0	0	5.73	81.93229085
